accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,base_order,anomaly_threshold,smoothing_alpha,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation,ensemble_name,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,num_states,vocab_size,num_transitions,transition_density
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,ensemble_markov_sweep,123,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.2,,5,,366,65,553,0.023245060949978982
0.9609756097560975,0.3333333333333333,0.14285714285714285,0.2,original,BATADAL,ensemble_markov_sweep,2026,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.2,,5,,366,65,553,0.023245060949978982
0.9609756097560975,0.3333333333333333,0.14285714285714285,0.2,gaussian_noise,BATADAL,ensemble_markov_sweep,2026,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.2,,5,,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,ensemble_markov_sweep,2026,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.2,,5,,366,65,553,0.023245060949978982
0.9609756097560975,0.3333333333333333,0.14285714285714285,0.2,original,BATADAL,ensemble_markov_sweep,7,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.2,,5,,366,65,553,0.023245060949978982
0.9609756097560975,0.3333333333333333,0.14285714285714285,0.2,gaussian_noise,BATADAL,ensemble_markov_sweep,7,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.2,,5,,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,ensemble_markov_sweep,7,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.2,,5,,366,65,553,0.023245060949978982
0.9609756097560975,0.3333333333333333,0.14285714285714285,0.2,original,BATADAL,ensemble_markov_sweep,999,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.2,,5,,366,65,553,0.023245060949978982
0.9609756097560975,0.3333333333333333,0.14285714285714285,0.2,gaussian_noise,BATADAL,ensemble_markov_sweep,999,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.2,,5,,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,ensemble_markov_sweep,999,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.2,,5,,366,65,553,0.023245060949978982
0.9658536585365853,0.5,0.14285714285714285,0.2222222222222222,original,BATADAL,ensemble_markov_sweep,42,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.5,,5,,366,65,553,0.023245060949978982
0.9658536585365853,0.5,0.14285714285714285,0.2222222222222222,gaussian_noise,BATADAL,ensemble_markov_sweep,42,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.5,,5,,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,ensemble_markov_sweep,42,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.5,,5,,366,65,553,0.023245060949978982
0.9658536585365853,0.5,0.14285714285714285,0.2222222222222222,original,BATADAL,ensemble_markov_sweep,123,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.5,,5,,366,65,553,0.023245060949978982
0.9609756097560975,0.0,0.0,0.0,gaussian_noise,BATADAL,ensemble_markov_sweep,123,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.5,,5,,366,65,553,0.023245060949978982
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,ensemble_markov_sweep,123,4,3,3,3,0.05,0.1,True,"[2,3]",,mean,orders_2_3_mean,avg_negative_log,4.5,,5,,366,65,553,0.023245060949978982
